t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
3,S1,S1__2,S2,0.8125,0.0625,0.125,16.0
4,S1,S1__2,S2,0.75,0.125,0.125,16.0
5,S1,S1__2,S2,0.8125,0.125,0.0625,16.0
7,S1,S1__2,S2,0.875,0.125,0.0,16.0
8,S1,S1__2,S2,0.875,0.0625,0.0625,16.0
9,S1,S1__2,S2,0.875,0.0,0.125,16.0
10,S1,S1__2,S3,0.8125,0.125,0.0625,16.0
11,S1,S1__2,S3,0.75,0.125,0.125,16.0
12,S1,S1__2,S3,0.8125,0.0625,0.125,16.0
13,S1,S2,S3,0.125,0.8125,0.0625,16.0
14,S1,S2,S3,0.0625,0.8125,0.125,16.0
15,S1,S2,S3,0.0625,0.9375,0.0,16.0
17,S1,S1__2,S2,0.875,0.125,0.0,16.0
18,S1,S1__2,S2,0.875,0.0625,0.0625,16.0
19,S1,S1__2,S2,0.875,0.0,0.125,16.0
20,S1,S1__2,S3,0.8125,0.125,0.0625,16.0
21,S1,S1__2,S3,0.75,0.125,0.125,16.0
22,S1,S1__2,S3,0.8125,0.0625,0.125,16.0
23,S1,S2,S3,0.125,0.8125,0.0625,16.0
24,S1,S2,S3,0.0625,0.8125,0.125,16.0
25,S1,S2,S3,0.0625,0.9375,0.0,16.0
26,S1,S1__2,S4,1.0,0.0,0.0,16.0
27,S1,S1__2,S4,1.0,0.0,0.0,16.0
28,S1,S1__2,S4,1.0,0.0,0.0,16.0
29,S1,S2,S4,0.875,0.0625,0.0625,16.0
30,S1,S2,S4,0.875,0.0625,0.0625,16.0
31,S1,S2,S4,0.875,0.0625,0.0625,16.0
32,S1,S3,S4,1.0,0.0,0.0,16.0
33,S1,S3,S4,1.0,0.0,0.0,16.0
34,S1,S3,S4,1.0,0.0,0.0,16.0
35,S2,S3,S4,0.875,0.0625,0.0625,16.0
